Run_Number,Time_Seconds
1,3.6543e-05
2,3.257e-05
3,4.0957e-05
4,3.0146e-05
5,2.9732e-05
6,2.9774e-05
7,2.9796e-05
8,2.9718e-05
9,2.9742e-05
10,2.972e-05
11,2.9707e-05
12,2.9706e-05
13,2.9704e-05
14,2.9723e-05
15,2.9729e-05
16,2.9767e-05
17,2.9729e-05
18,2.9716e-05
19,2.9749e-05
20,2.9766e-05
21,2.9721e-05
22,2.9759e-05
23,2.9754e-05
24,2.9754e-05
25,2.9728e-05
26,2.974e-05
27,2.9714e-05
28,2.9727e-05
29,2.9743e-05
30,2.9727e-05
31,4.0492e-05
32,3.0592e-05
33,3.5403e-05
34,3.0483e-05
35,2.973e-05
36,2.9729e-05
37,2.9721e-05
38,2.9743e-05
39,2.9722e-05
40,2.9752e-05
41,2.9725e-05
42,2.9715e-05
43,2.9736e-05
44,2.9753e-05
45,2.9755e-05
46,2.9713e-05
47,2.9771e-05
48,2.9727e-05
49,2.9756e-05
50,2.9719e-05
51,2.971e-05
52,2.9743e-05
53,2.9742e-05
54,2.9778e-05
55,2.9745e-05
56,2.9699e-05
57,2.9721e-05
58,3.5203e-05
59,2.9789e-05
60,2.9964e-05
61,2.9773e-05
62,2.9718e-05
63,2.975e-05
64,2.9766e-05
65,2.9734e-05
66,2.975e-05
67,2.9728e-05
68,2.9717e-05
69,2.9759e-05
70,2.9742e-05
71,2.9731e-05
72,2.9733e-05
73,2.9771e-05
74,2.9756e-05
75,2.9772e-05
76,2.9729e-05
77,2.9736e-05
78,2.9742e-05
79,2.9744e-05
80,2.9747e-05
81,2.9746e-05
82,2.975e-05
83,2.9741e-05
84,2.9736e-05
85,2.9719e-05
86,3.6522e-05
87,2.9762e-05
88,2.9967e-05
89,2.9733e-05
90,2.974e-05
91,2.9708e-05
92,2.9722e-05
93,2.9724e-05
94,2.9723e-05
95,2.9769e-05
96,2.9734e-05
97,2.9714e-05
98,2.973e-05
99,2.9727e-05
100,2.9739e-05
